team_name,team_uid,season,games_played,wins,losses,win_percentage,home_wins,home_losses,away_wins,away_losses,points_scored,points_allowed,point_differential,avg_points_scored,avg_points_allowed
Buffalo Bills,NFL_134918,2022,18,14,4,0.778,8,2,6,2,499,344,155,27.7,19.1
Buffalo Bills,NFL_134918,2023,19,12,7,0.632,8,3,4,4,506,355,151,26.6,18.7
Buffalo Bills,NFL_134918,2024,20,15,5,0.75,10,0,5,5,612,432,180,30.6,21.6
Miami Dolphins,NFL_134919,2022,18,9,9,0.5,6,2,3,7,428,433,-5,23.8,24.1
Miami Dolphins,NFL_134919,2023,18,11,7,0.611,7,2,4,5,503,417,86,27.9,23.2
Miami Dolphins,NFL_134919,2024,17,8,9,0.471,5,3,3,6,345,364,-19,20.3,21.4
Baltimore Ravens,NFL_134922,2022,18,10,8,0.556,5,3,5,5,367,339,28,20.4,18.8
Baltimore Ravens,NFL_134922,2023,19,14,5,0.737,7,4,7,1,527,307,220,27.7,16.2
Baltimore Ravens,NFL_134922,2024,19,13,6,0.684,7,2,6,4,571,402,169,30.1,21.2
New England Patriots,NFL_134920,2022,17,8,9,0.471,4,4,4,5,364,347,17,21.4,20.4
New England Patriots,NFL_134920,2023,17,4,13,0.235,1,8,3,5,236,366,-130,13.9,21.5
New England Patriots,NFL_134920,2024,17,4,13,0.235,2,6,2,7,289,417,-128,17.0,24.5
New York Jets,NFL_134921,2022,17,7,10,0.412,3,5,4,5,296,316,-20,17.4,18.6
New York Jets,NFL_134921,2023,17,7,10,0.412,4,5,3,5,268,355,-87,15.8,20.9
New York Jets,NFL_134921,2024,17,5,12,0.294,3,5,2,7,338,404,-66,19.9,23.8
Cincinnati Bengals,NFL_134923,2022,19,14,5,0.737,7,1,7,4,489,372,117,25.7,19.6
Cincinnati Bengals,NFL_134923,2023,17,9,8,0.529,6,3,3,5,366,384,-18,21.5,22.6
Cincinnati Bengals,NFL_134923,2024,17,9,8,0.529,3,5,6,3,472,434,38,27.8,25.5
Cleveland Browns,NFL_134924,2022,17,7,10,0.412,4,4,3,6,361,381,-20,21.2,22.4
Cleveland Browns,NFL_134924,2023,18,11,7,0.611,8,1,3,6,410,407,3,22.8,22.6
Cleveland Browns,NFL_134924,2024,17,3,14,0.176,2,6,1,8,258,435,-177,15.2,25.6
Pittsburgh Steelers,NFL_134925,2022,17,9,8,0.529,4,4,5,4,308,346,-38,18.1,20.4
Pittsburgh Steelers,NFL_134925,2023,18,10,8,0.556,5,4,5,4,321,355,-34,17.8,19.7
Pittsburgh Steelers,NFL_134925,2024,18,10,8,0.556,5,3,5,5,394,375,19,21.9,20.8
Houston Texans,NFL_134926,2022,17,3,14,0.176,0,8,3,6,289,420,-131,17.0,24.7
Houston Texans,NFL_134926,2023,19,11,8,0.579,7,3,4,5,432,401,31,22.7,21.1
Houston Texans,NFL_134926,2024,19,11,8,0.579,6,3,5,5,418,407,11,22.0,21.4
Indianapolis Colts,NFL_134927,2022,17,4,13,0.235,2,6,2,7,289,427,-138,17.0,25.1
Indianapolis Colts,NFL_134927,2023,17,9,8,0.529,4,5,5,3,396,415,-19,23.3,24.4
Indianapolis Colts,NFL_134927,2024,17,8,9,0.471,5,3,3,6,377,427,-50,22.2,25.1
Jacksonville Jaguars,NFL_134928,2022,19,10,9,0.526,6,3,4,6,455,407,48,23.9,21.4
Jacksonville Jaguars,NFL_134928,2023,17,9,8,0.529,4,5,5,3,377,371,6,22.2,21.8
Jacksonville Jaguars,NFL_134928,2024,17,4,13,0.235,3,5,1,8,320,435,-115,18.8,25.6
Tennessee Titans,NFL_134929,2022,17,7,10,0.412,3,5,4,5,298,359,-61,17.5,21.1
Tennessee Titans,NFL_134929,2023,17,6,11,0.353,5,4,1,7,305,367,-62,17.9,21.6
Tennessee Titans,NFL_134929,2024,17,3,14,0.176,1,7,2,7,311,460,-149,18.3,27.1
Denver Broncos,NFL_134930,2022,17,5,12,0.294,4,4,1,8,287,359,-72,16.9,21.1
Denver Broncos,NFL_134930,2023,17,8,9,0.471,5,4,3,5,357,413,-56,21.0,24.3
Denver Broncos,NFL_134930,2024,18,10,8,0.556,6,2,4,6,432,342,90,24.0,19.0
Kansas City Chiefs,NFL_134931,2022,20,17,3,0.85,10,1,7,2,584,444,140,29.2,22.2
Kansas City Chiefs,NFL_134931,2023,21,15,6,0.714,7,4,8,2,466,357,109,22.2,17.0
Kansas City Chiefs,NFL_134931,2024,20,17,3,0.85,10,0,7,3,462,409,53,23.1,20.4
Las Vegas Raiders,NFL_134932,2022,17,6,11,0.353,4,4,2,7,395,418,-23,23.2,24.6
Las Vegas Raiders,NFL_134932,2023,17,8,9,0.471,6,3,2,6,332,331,1,19.5,19.5
Las Vegas Raiders,NFL_134932,2024,17,4,13,0.235,2,6,2,7,309,434,-125,18.2,25.5
Dallas Cowboys,NFL_134934,2022,19,13,6,0.684,8,1,5,5,510,375,135,26.8,19.7
Dallas Cowboys,NFL_134934,2023,18,12,6,0.667,8,1,4,5,541,363,178,30.1,20.2
Dallas Cowboys,NFL_134934,2024,17,7,10,0.412,2,7,5,3,350,468,-118,20.6,27.5
New York Giants,NFL_134935,2022,19,10,9,0.526,5,4,5,5,403,433,-30,21.2,22.8
New York Giants,NFL_134935,2023,17,6,11,0.353,4,4,2,7,266,407,-141,15.6,23.9
New York Giants,NFL_134935,2024,17,3,14,0.176,1,8,2,6,273,415,-142,16.1,24.4
Philadelphia Eagles,NFL_134936,2022,20,16,4,0.8,9,2,7,2,581,396,185,29.1,19.8
Philadelphia Eagles,NFL_134936,2023,18,11,7,0.611,6,2,5,5,442,460,-18,24.6,25.6
Philadelphia Eagles,NFL_134936,2024,21,18,3,0.857,12,1,6,2,608,380,228,29.0,18.1
Washington Commanders,NFL_134937,2022,17,8,9,0.471,4,5,4,4,321,343,-22,18.9,20.2
Washington Commanders,NFL_134937,2023,17,4,13,0.235,1,7,3,6,329,518,-189,19.4,30.5
Washington Commanders,NFL_134937,2024,20,14,6,0.7,7,2,7,4,576,497,79,28.8,24.9
Chicago Bears,NFL_134938,2022,17,3,14,0.176,2,7,1,7,326,463,-137,19.2,27.2
Chicago Bears,NFL_134938,2023,17,7,10,0.412,5,3,2,7,360,379,-19,21.2,22.3
Chicago Bears,NFL_134938,2024,17,5,12,0.294,4,5,1,7,310,370,-60,18.2,21.8
Detroit Lions,NFL_134939,2022,17,9,8,0.529,5,4,4,4,453,427,26,26.6,25.1
Detroit Lions,NFL_134939,2023,20,14,6,0.7,8,2,6,4,547,475,72,27.4,23.8
Detroit Lions,NFL_134939,2024,18,15,3,0.833,7,3,8,0,595,387,208,33.1,21.5
Green Bay Packers,NFL_134940,2022,17,8,9,0.471,5,4,3,5,370,371,-1,21.8,21.8
Green Bay Packers,NFL_134940,2023,19,10,9,0.526,5,3,5,6,452,406,46,23.8,21.4
Green Bay Packers,NFL_134940,2024,18,11,7,0.611,6,3,5,4,470,360,110,26.1,20.0
Minnesota Vikings,NFL_134941,2022,18,13,5,0.722,8,2,5,3,448,458,-10,24.9,25.4
Minnesota Vikings,NFL_134941,2023,17,7,10,0.412,2,6,5,4,344,362,-18,20.2,21.3
Minnesota Vikings,NFL_134941,2024,18,14,4,0.778,8,1,6,3,441,359,82,24.5,19.9
Atlanta Falcons,NFL_134942,2022,17,7,10,0.412,6,3,1,7,365,386,-21,21.5,22.7
Atlanta Falcons,NFL_134942,2023,17,7,10,0.412,5,3,2,7,321,373,-52,18.9,21.9
Atlanta Falcons,NFL_134942,2024,17,8,9,0.471,4,5,4,4,389,423,-34,22.9,24.9
Carolina Panthers,NFL_134943,2022,17,7,10,0.412,5,4,2,6,347,374,-27,20.4,22.0
Carolina Panthers,NFL_134943,2023,17,2,15,0.118,2,6,0,9,236,416,-180,13.9,24.5
Carolina Panthers,NFL_134943,2024,17,5,12,0.294,3,6,2,6,341,534,-193,20.1,31.4
New Orleans Saints,NFL_134944,2022,17,7,10,0.412,4,5,3,5,330,345,-15,19.4,20.3
New Orleans Saints,NFL_134944,2023,17,9,8,0.529,5,3,4,5,402,327,75,23.6,19.2
New Orleans Saints,NFL_134944,2024,17,5,12,0.294,3,6,2,6,338,398,-60,19.9,23.4
Tampa Bay Buccaneers,NFL_134945,2022,18,8,10,0.444,5,5,3,5,327,389,-62,18.2,21.6
Tampa Bay Buccaneers,NFL_134945,2023,19,10,9,0.526,5,4,5,5,403,365,38,21.2,19.2
Tampa Bay Buccaneers,NFL_134945,2024,18,10,8,0.556,5,5,5,3,522,408,114,29.0,22.7
Arizona Cardinals,NFL_134946,2022,17,4,13,0.235,1,8,3,5,340,449,-109,20.0,26.4
Arizona Cardinals,NFL_134946,2023,17,4,13,0.235,2,6,2,7,330,455,-125,19.4,26.8
Arizona Cardinals,NFL_134946,2024,17,8,9,0.471,6,3,2,6,400,379,21,23.5,22.3
San Francisco 49ers,NFL_134948,2022,20,15,5,0.75,10,1,5,4,517,343,174,25.9,17.1
San Francisco 49ers,NFL_134948,2023,20,14,6,0.7,7,3,7,3,571,375,196,28.6,18.8
San Francisco 49ers,NFL_134948,2024,17,6,11,0.353,4,5,2,6,389,436,-47,22.9,25.6
